product_id,product_name
06410-KAN-640,#N/A
06410-KFL-850,"cao su đùm- wave A , Rs,Ws, Fu neo (2007-2016)"
06410-KSP-900,#N/A
06410-KWB-600,"cao su đùm -Wave S110,Rsx110,Dream 110, Future 125, MSX 125,cup "
06420-KFL-890,#N/A
06421-KFL-890,#N/A
06430-GCE-305,"bố thắng sau - wave,dream,wave rs lò xo chéo (2001-2009)"
06430-K44-V80,"bố thắng đùm sau vision 110,air blade 110/125,lead 110/125"
06430-KPH-900,bố thắng sau future neo lò xo thắng thẳng
06430-KVB-950,"bố thắng đùm sau vision 110,air blade 110/125,lead 110/125"
06430-KWN-900,#N/A
06431-MA3-405,"sin heo dầu/ Bộ gioăng piston ngàm phanh Winner 150/X, Air Blade, Vision, Wave, Future và Lead."
06435-K01-902,Bố đĩa sau Sh (2012-2019)
06435-K0R-V01,Bố đĩa sau Sh (2020-2025)
06435-K40-F11,#N/A
06435-KPP-T01,bố đĩa sau Winner (2016-2020)
06451-961-405,"sin heo dầu/ Bộ gioăng piston ngàm phanh Lead 110, SH 125/150, CBR250R."
06451-GE2-405,"sin heo dầu/ Bộ gioăng piston ngàm phanh click, future, MSX 125, SH 125, SH 150, Sh mode,Wave"
06451-MA7-405,"Sin heo dầu/Bộ gioăng piston ngàm phanh Winner,Blade , Wave 110, Future mập,Air Blade, Vario, SH"
06451-MZ2-405,#N/A
06455-GCS-026,#N/A
06455-K01-902,#N/A
06455-K0R-V01,Bố thắng đĩa trước Sh (2020-2025)
06455-K20-911,bố thắng đĩa trước SH Mode 125 (2013-2020)
06455-K40-F12,Má phanh trước SH 125/150 (2016-2019)
06455-K56-N01,"bố đĩa trước winner, ws 110 -1 pitton"
06455-KPY-932,#N/A
06455-KPY-933,#N/A
06455-KRE-K02,#N/A
06455-KSV-J04,#N/A
06455-KVB-951,"bố thắng đĩa click,air blade 110- 2 pitton "
06455-KVB-T01,bố đĩa trước air blade 125 - 1 pitton
06455-KWB-601,#N/A
06455-KWN-932,#N/A
06455-KZL-931,#N/A
06530-GBG-B20,#N/A
06531-GBG-B20,#N/A
08203-M99-38ZT1,Dầu phanh 0.2L
08294-M99-K8LV1,Chai dầu hộp số 0.12L
08CMC-HIC-60BOX,Chai Cacbon Honda ( 1 thùng 20 chai )
11100-GB6-911,lốc giữa wave alpha-dream (2001-2009)
11100-GGE-900,#N/A
11100-K2C-V00,"lốc nhớt /giữa/ mâm lửa  Vision 2021-2026, Scoopy 2021-2026"
11100-K44-V00,lốc nhớt /giữa/mâm lửa  Vision 2014-2020)
11100-K56-305,lốc giữa winner- winner x -sonic
11100-KFL-840,lốc giữa future 1-110cc 2004-2008
11100-KVB-901,lốc nhớt/ giữa/mâm lửa- air blade- click 110 (2007-2010)
11100-KWB-600,lốc giữa / lốc xả nhớt- Wave S110
11100-KYZ-900,"lốc giữa  future 125, future mập,future lead"
11100-KZL-930,lốc nhớt /giữa/mâm lửa  Vision( 2011-2013)
11100-KZR-601,lốc nhớt/ giữa/mâm lửa- air blade 125 (2013-2019)
11191-KFL-850,Gioăng lốc giữa future 1-110cc 2004-2008
11191-KFM-902,"Gioăng lốc giữa wave, dream  2001-2006"
